pts_nanoseconds,id,hamming,decision_margin,h00,h01,h02,h10,h11,h12,h20,h21,family
0,110,1,105.97922,23.353061640619785,-8.35445108639556,600.0069071234088,6.7587028389329475,2.2964359299630237,251.96333710089644,0.02747000183034905,-0.013875090357723522,tagStandard41h12
0,111,0,94.20951,11.629367311016267,-2.2034598780543333,626.5521271210024,2.0683968984324683,4.612074481952959,252.35380294326836,0.007923148710020174,-0.0036112869062765473,tagStandard41h12
0,112,0,98.356804,-4.917893587230195,6.194860369038794,653.1471798279848,-4.52367469970025,8.046234373251963,252.8156840433667,-0.01791422206886858,0.009228522977321636,tagStandard41h12
0,113,0,103.77996,11.867421588460845,8.462420765191721,679.835123808331,1.999306396841065,8.818483790025454,253.04997180895904,0.007414950262731862,0.012109161043157061,tagStandard41h12
0,114,0,96.07004,0.5167469237435385,-10.83817911213771,706.6641538773621,-2.188404752385338,1.8483825897256454,253.00393703192168,-0.008859003119436097,-0.015616485325443848,tagStandard41h12
0,115,0,113.76976,3.7095154767104064,-9.424697065477403,733.7233627882899,-1.1123738740635074,2.4780715226101506,253.06264282775334,-0.004219219128952428,-0.013213162221691433,tagStandard41h12
0,116,0,109.99712,-5.78716120229433,-15.956977572869278,760.4206664932298,-4.150834565492033,0.4805133257042376,253.2517785063405,-0.016593720944678036,-0.021382067226530695,tagStandard41h12
0,117,0,116.09706,3.739860617189378,-7.038008178339511,787.425931184389,-0.9069170644760329,3.4469306112465006,253.7180561875749,-0.003933375814705775,-0.009507037940882744,tagStandard41h12
0,151,0,104.552086,5.744508505006139,4.501867311695434,492.5670106776791,-0.5837057228252992,8.559866136283063,275.89464982830157,-0.0019652332432017494,0.009406741414498418,tagStandard41h12
0,152,0,96.64564,12.787159228100336,-1.8376733948534836,519.3281523711377,3.02966593875982,5.156724305363468,275.7613264782785,0.011386299859740863,-0.0032734431297257774,tagStandard41h12
0,153,0,104.95353,14.077359773426563,-8.253962575451625,546.1931286150029,3.530070455299381,1.827743743782548,275.6330379850992,0.013325878717561801,-0.014967787928780436,tagStandard41h12
0,154,0,102.93435,4.1133965154494945,0.26705487268532074,572.9987805370707,-1.2716042400602412,6.113315485669773,275.5098989629657,-0.004746139992242636,0.000437762312688041,tagStandard41h12
0,155,1,101.15931,13.617441156507311,-2.54211633374314,599.9572782013431,3.1251516923043714,4.880186310605211,275.47706676195986,0.011222406405273977,-0.0041889589633738135,tagStandard41h12
0,156,0,93.37857,-6.115524526448554,-4.8769493257456125,626.6947030566802,-5.5348033933448155,3.8692990087273538,275.47430844010466,-0.020565677536320146,-0.007976810185592409,tagStandard41h12
0,158,0,105.647194,-4.333724156043672,-2.2238698369964136,680.5234405158311,-4.445060811964196,4.96193713017749,275.8022017207157,-0.016381141156891637,-0.003661422421326412,tagStandard41h12
0,159,1,107.200195,17.29759293979214,-10.46876238126629,707.7023132930022,4.140075667583517,1.767809783015195,275.9262474721098,0.01467318507862777,-0.015201120398748437,tagStandard41h12
0,161,0,102.30821,3.1859271040173103,5.304011823804558,761.6082573683431,-1.2222699232320897,7.8684461777170895,276.82568259114913,-0.005001514750252667,0.006647905874518189,tagStandard41h12
0,162,0,116.3219,25.4238535853442,-17.161745637975176,789.025603020089,6.594082841397949,-0.20587656445718575,277.08744961223664,0.02341041442260739,-0.022141243981088077,tagStandard41h12
0,195,0,100.13374,-9.1440240293893,-6.033756738946635,464.7780688867697,-10.192516768632629,2.1756909310855135,299.4472041096513,-0.03432658110648587,-0.012647282980342078,tagStandard41h12
0,196,0,96.91911,10.606293886127332,-1.2124009229764865,491.9752766483575,2.2273720184292647,5.2715093610060535,299.52291907681706,0.007650102864559031,-0.0022373928336897474,tagStandard41h12
0,197,0,110.70166,-1.2369399118783813,-6.666130213102292,518.8828443246906,-4.664898429109485,2.169367888493071,299.42317283950877,-0.015541637275733588,-0.01269774710299701,tagStandard41h12
0,198,0,108.24987,2.700038206983322,0.1619322852270667,545.878354210696,-2.362436043715433,6.152511546963808,299.5106020195381,-0.007690675145692353,0.0003817101301154182,tagStandard41h12
0,199,0,109.03622,2.501950142543478,-3.926818682089561,573.0200701743904,-2.4450378798035213,3.9094467477118546,299.0719597641085,-0.007782445722638782,-0.006900719572078869,tagStandard41h12
0,200,0,118.42397,1.899314365791383,-4.196803512812835,599.9919161729847,-2.4337201956454346,3.777263434166287,299.03346910026124,-0.008135091008503013,-0.006984404377741104,tagStandard41h12
0,201,0,106.34782,-4.050068104003117,2.318993535787627,627.1342429623047,-5.207895194623744,7.030664971788611,299.0211449264639,-0.01748581046258116,0.0036862220483132066,tagStandard41h12
0,202,0,110.36892,-1.6715735952921014,7.059804455145695,654.0275512470989,-3.8862862426078655,9.055059171752134,299.1592605676479,-0.013070201702514179,0.010567212040852121,tagStandard41h12
0,203,0,108.36173,4.355543846182058,-8.16106341529212,681.3875384674819,-1.0858426934041174,2.3540195850666237,299.285871631353,-0.0037306960205485424,-0.012253163547022921,tagStandard41h12
0,204,0,104.53902,-4.182839099923628,-13.624359850701353,708.2851939118887,-4.641960034870408,0.02020791485523489,299.5225792421088,-0.015534822302953319,-0.019710749070631913,tagStandard41h12
0,205,1,101.677826,15.8568767656717,-0.7982792700355522,735.756108006667,3.539106068519289,5.504390351148572,299.7895666129342,0.012119750789564229,-0.0015380551215818173,tagStandard41h12
0,206,0,107.50191,10.590310712623022,-5.74288751728534,762.9674255629067,1.642103581572997,3.5065307145503652,300.41903357215296,0.004766376898528503,-0.007772407577147411,tagStandard41h12
0,207,0,107.28474,19.507994504092494,3.9000506366434116,790.1792238338388,4.896745381488359,7.284545766934342,300.8689181408937,0.015879280880849125,0.004480028005474179,tagStandard41h12
0,240,0,114.384766,7.586941337285623,-1.74403012995191,464.1208761084264,0.5269894012755577,4.934094690345205,323.09845980041325,0.0015909231046997274,-0.003320459732960045,tagStandard41h12
0,241,0,109.30398,5.190686408013676,0.021675780082943494,491.41235859392884,-1.0146003794149003,6.2109378953545615,323.3423873773874,-0.0034466400523298674,0.00035734326394236507,tagStandard41h12
0,242,0,109.351135,11.131600689412492,-15.08484805668809,518.7839219000954,2.6557632386081873,-3.3062970630821273,323.25296213489577,0.008073068720663277,-0.028982034511417933,tagStandard41h12
